post_id,predicted_tense,verbatim_example,true_tense
52f0y8,1,still in acute withdrawal,0
52mzs8,1,I may finally get off the shit.,0
52no2p,1,Right now I'm on day 2 of fentanyl/analog withdrawal.,0
52qzf0,0,,0
60lats,1,I probably won't be able to afford the suboxone.,0
651szn,1,"I'm on track from tapering down from 16mg to 2mg of suboxone daily. My doctor even says that I was stabilized far too high at detox (which is rare from what I hear) and I'm on a taper plan where I drop 2mg per week down to 8 (currently on 10, dropping to 8 tomorrow), and 2mg every 2 weeks after that until I'm down to 2, which I'll probably stay on for a while just as a safety net as I finish getting my life together.",0
6th6ut,1,"hypothetically, say i took my last perc 10 at 1am tonight, if i woke up at 10-11am the next day",0
6toxjp,ERROR,ERROR,0
722d29,ERROR,ERROR,0
1k5gaz,0,,0
1lmluc,0,,0
1m1di0,0,,0
1ni8o7,0,,0
1vp1ae,0,,0
1wquz1,ERROR,ERROR,0
1xeg63,0,,0
1zqlhf,1,Will chewing on about 1/3 of the fent patch break through? Or is it still best to wait the 24 hours.,0
23pv38,0,,0
23vo4z,ERROR,ERROR,0
25wok0,ERROR,ERROR,0
25xrjo,0,,0
27hc44,0,,0
29pe97,0,,0
2b0q0j,0,,0
2c7h7s,0,,0
2o3xge,0,,0
2ocg89,1,I OD'd tonight.,0
2xnxmu,ERROR,ERROR,0
36cxa9,ERROR,ERROR,0
5sb0ez,ERROR,ERROR,0
5thap3,ERROR,ERROR,0
5ura51,ERROR,ERROR,0
5v9njc,ERROR,ERROR,0
64ohbl,0,,0
65nbjs,0,,0
1peg8y,1,I have been using for the past 2 months and need to get clean.,1
1rpx11,1,"I have 6 suboxone, 10 Catapres, 1 valium, 1 klonipin and some 50mg trams to get me thru this.",1
1s505e,1,I think I will just take some Melatonin and Clonidine tonight and hope for the best! I have a feeling the worst is yet to come.,0
1s80yh,1,"I would like to get past w/d and go back to pre-using and stick with the ocassional MDMA experience, therapeutic dosage,  maybe some LSD, which I have been storing in my fridge will help me get in touch with my inner self that I am unable to obtain now.",0
1sez54,1,"I want to go to a NA meeting but its snowing like a blizzard and I shoudlnt drive, luckily I havent used since yesterday, took some Vikes, about 20mg of them, it fended off the H w/d",0
2522nd,1,I have some sub's I can take so that should help buy still need to wait another 12 hour before I can take it.,0
27ilju,ERROR,ERROR,0
27q7rn,0,,0
2cgdn8,1,"I was in hardcore, white knuckle, cold turkey withdrawal(puking, shitting, cold sweats, can't get comfortable, etc).",0
2gyhsa,1,"So, today is Saturday around noon I'm at the 24+ mark and the withdrawals are getting pretty bad.",0
2o8onl,0,,0
2qinso,ERROR,ERROR,0
53g3xm,0,,0
8fwt2u,1,I hear the depression lasts month.,0
8je6i3,1,"If this is sobriety, I don't know if I'm up for it.",0
8k1ipv,1,I've been having a ton of anxiety and have been spacey as fuck.,0
8k1k5h,1,my gp gave me gabapentin to help withdrawl three weeks ago and last night i flushed then down the toilet because I caught myself abusing them.,0
8l6lf1,1,Hopefully I can get through this mild w/d quickly and I pray tommorow I dont wake up in full blown withdrawl...,0
94hw0w,0,,0
99v50z,0,,0
9ty9nh,0,,0
a9vnxz,0,,0
ah3b4a,ERROR,ERROR,0
btujsy,ERROR,ERROR,0
bz8m4u,0,,0
5zufu4,0,,1
6onjd6,1,I'm going again 6 months later everyday use 2 grams... What to expect? Timeline on things?,0
6ooeq0,1,when can I take a 2mg sub where I 100% won't go into WD,0
6q4a92,1,I can't wait anymore for him to wake up I can't do it.,0
6qgu9j,1,I think I will never even look at a opioid again.,0
6r08x3,1,I wake up in severe pain if I haven't used within 12 hours.,0
6tjed3,1,How much and what mg and how many hours in between can I dose this stuff to keep withdrawals bearable for a cold turkey from H,0
6vtbvd,1,When is it safe to go back to sub and continue where I left off,0
6ycv55,1,I'm talking puking and everything so I just went back to what I knew fixed it.,0
6zysjf,0,,0
70fisp,1,I'm going to try and switch to suboxone once again and I do not want to go into PDWs.,0
7bvqvj,1,I went into percip withdrawal nothing crazy just some RLS and anxiety and all that moderate WD.,0
7k3g81,1,Is it possible to switch from suboxone to heroin for maybe a few months to come off of the suboxone and come off the heroin since it is a shorter withdrawals,0
8b1hh0,1,I AM STILL FAILING a month after the last time I did it,0
8h9u39,ERROR,ERROR,0
3x916d,0,,0
3y8uqq,0,,0
3yo8bf,0,,0
431q6i,1,"7 hours after ingesting 90mg of oxy, I am knee deep in fucking withdrawals.",0
456ewl,1,It is on my mind & will not stop.,0
45afjw,0,,0
4g8w0z,1,I am finding it extremely overwhelming that I have to work 40 hours a week & simultaneously go through opiate withdrawal.,0
4hv25r,1,"When we try to kick the habit, we become physically ill.",0
4zos1m,ERROR,ERROR,0
5sl9q2,0,,0
60a2qw,ERROR,ERROR,0
8vcvnf,ERROR,ERROR,0
bnfbis,0,,0
6213cc,1,"I'll be out of drugs tomorrow, as my only supplier was my uncle.",0
65x0y0,1,I still have a bag of pills and some leftover fent in my closet,0
68tugp,0,,0
69rsvb,0,,0
6ubnhg,0,,0
7b8yd7,ERROR,ERROR,0
7pbgsj,0,,0
95s5im,ERROR,ERROR,0
yrdfn,0,,0
11t3ai,0,,0
13hkwt,1,I did some oxy a day ago before I knew about the test,0
16ksus,0,,0
1gd80o,ERROR,ERROR,0
1t80g3,ERROR,ERROR,0
2h6z88,0,,0
3hgu09,1,"I was on opiates for about 2 years after my accident, and stupidly decided to quit cold turkey instead of taper off.",0
4tssfz,1,This is the last time I will go through this.,0
4turk4,0,,0
4ty1r4,1,It's helped me with wd,0
4tydti,0,,0
4uimtr,0,,0
4vauox,1,what about *second* withdrawal!?,0
57t3eo,ERROR,ERROR,0
5d3b6i,0,,0
5nmk3j,0,,0
5xb5zz,ERROR,ERROR,0
68t4xs,0,,0
6eatyc,0,,0
6fbatf,0,,0
6k1z9f,0,,0
7a1qci,ERROR,ERROR,0
7r7njn,0,,0
8ci1wf,ERROR,ERROR,0
8reqyf,0,,0
ae2rfw,1,I have the strongest fucking urge to use today for some reason,0
4o4lrm,ERROR,ERROR,0
6k6l0e,ERROR,ERROR,0
75ymwk,ERROR,ERROR,0
7ms1qp,ERROR,ERROR,0
7q3s1u,ERROR,ERROR,0
7scuae,ERROR,ERROR,0
7uh5kq,ERROR,ERROR,0
7ysc8t,ERROR,ERROR,0
80opg3,ERROR,ERROR,0
87xzz2,ERROR,ERROR,0
8c0bx7,ERROR,ERROR,0
8ecoun,ERROR,ERROR,0
8jefqu,ERROR,ERROR,0
ah548w,ERROR,ERROR,0
20vf2z,0,,0
22gu95,0,,0
2a2vyo,ERROR,ERROR,0
2aiuzq,ERROR,ERROR,0
2t219z,ERROR,ERROR,0
420kus,ERROR,ERROR,0
5p3ha3,ERROR,ERROR,0
7v9sgj,0,,0
3j7ys7,0,,0
3u5edk,ERROR,ERROR,0
3xc2jo,1,"In the months after his death my use spiralled completely out of control, I went from using a couple of times a week to every day, all day, waking up in the middle of the night sick.",0
4l7t84,0,,0
4nej8v,0,,0
4q4v1a,1,He was still pale and sweating but now crying from the pain of precipitated w/d.,0
51m0hv,0,,0
54vnx9,0,,0
7lnq2e,0,,0
7mvnfn,0,,0
aft1cg,0,"I've leveled off at 60mgs per day and if I wanted it, I'd need a much bigger shot than I used to to feel even a little.",0
2dgcl6,0,,0
2dsyef,0,,0
2ji0c6,0,,0
2l1ir7,0,,0
2lnb5k,0,,0
2tfp54,0,,0
2uwlao,0,,0
2vqj0o,0,,0
2x51r2,0,,0
2yqk8v,0,,0
30j411,ERROR,ERROR,0
31le5r,0,,0
31x4d2,ERROR,ERROR,0
321w3c,0,,0
32wxna,0,,0
35ip7o,0,,0
36iaud,ERROR,ERROR,0
3a9zzd,ERROR,ERROR,0
3arut4,0,,0
3bbq7v,ERROR,ERROR,0
3bd3fy,1,"I was still high when I woke up, but I guess some combo of sitting in steam for a half hour and the shock of waking up like I did had me extra messed up. Because I was having trouble standing up straight and walking and all that good stuff.",0
99wqcp,0,,0
9aapzt,0,,0
9c6xez,0,,0
9hktm7,0,,0
9tq12o,0,,0
9yz6dy,ERROR,ERROR,0
aep1b6,0,,0
aiii48,ERROR,ERROR,0
av8v4r,0,,0
awozxz,0,,0
azcgte,0,,0
b176mz,ERROR,ERROR,0
b3mgx6,ERROR,ERROR,0
b76t04,0,,0
b78h0j,1,tomorrow ill have some nice IR oxy,0
bad5yw,0,,0
bclisc,1,this will last me maybe thru the weekend,0
bf6i4s,0,,0
bk2pll,ERROR,ERROR,0
bxczdq,1,"This usually only happens when you are intoxicated,",0
cb9g1c,0,,0
1naxdu,1,I'm really scared I can't make it much longer.,0
1nij95,1,I thought I was through the hardest parts of physical withdrawals and such. Can anyone tell me if it will just reset or if they'll be less severe this time around?,1
1nu173,1,I'm on day 3 of being clean after a couple of slip ups since deciding to get clean.,0
1pdijm,0,,0
1q5itf,1,"I have 35 days clean. 35 long, hard days.",0
1rzh7m,1,It's now 3am the morning of day 2.,0
1sdmc7,1,I don't know why I've been fucking up so badly lately. But I can't seem to get more than a few days clean. This is the beginning of day 4.,0
1smfyt,1,I'm almost certain I'm going to fail this final. I'm dreading having to go sit it.,0
1spino,0,,0
1st6ax,0,,0
1texc2,0,,0
1v372o,0,,0
1vuf71,1,I know I'm never going to get and stay clean unless I figure this shit out first.,0
1vxjmy,0,,0
1wsf9j,0,,0
1xyyz2,0,,0
1ym81n,1,I will openly admit that I'm weird as fuck. Which is fine. I fully embrace it. Couple that with ridiculously shyness though... Meeting new people isn't my strong point.,0
26l19t,ERROR,ERROR,0
270jse,1,I remember how much withdrawals suck a little bit too well. But that was coming off of 3 years of using.,0
139cae,ERROR,ERROR,0
3kyrfw,0,,0
3nbed3,ERROR,ERROR,0
3nify8,0,,0
3nqduu,ERROR,ERROR,0
3nx8md,0,,0
3o3urm,0,,0
3oi8bd,1,"Was this an od? I didn't black out but I obviously had too much, so much that I've decided I'm no longer going to indulge in opiates or else I just might kill myself.",1
3qr720,0,,0
3qrapd,0,,0
60hxnq,0,,0
63of95,ERROR,ERROR,0
64t3ja,ERROR,ERROR,0
65s7c3,0,,0
660fow,0,,0
667ayt,ERROR,ERROR,0
66i1lx,0,,0
66n3zi,ERROR,ERROR,0
67365w,ERROR,ERROR,0
676662,ERROR,ERROR,0
68y8ly,0,,0
9mpfob,ERROR,ERROR,0
23oe3c,1,"I'm on day three now, and I'd like to know... is this going to stop feeling like death sometime soon?",0
2euvu7,ERROR,ERROR,0
2f3p9p,0,,0
2feg71,0,,0
2g1bpo,0,,0
2g2bau,0,,0
2j9myu,ERROR,ERROR,0
2qncjf,1,he wasn't breathing and he was blue.,0
2uuhv1,0,,0
2ymkwh,ERROR,ERROR,0
3n770r,0,,0
3orp81,0,,0
3qyk6b,ERROR,ERROR,0
4me27z,0,,0
7nhw1l,0,,0
195zqa,1,i wish i could use right now but i have sub doctor appt friday morning so i technically have to wait until after that because i drop everytime i go,0
19fd8p,ERROR,ERROR,0
19fj5o,0,,0
1a13tk,0,,0
1bosyo,0,,0
1fn2fb,ERROR,ERROR,0
1tof60,1,I am planning on copping a jab or two on Friday.,0
1tun3q,1,I actually got high! I can't wait to do some more dope after a long night of partying on nye.,0
1u3k1l,0,,0
1u5c2h,1,I'm flying out to west palm beach for anywhere for 1-3 months in inpatient.,0
1ua06b,1,Tomorrow I'm flying out to Florida from Chicago to do a 1-3 month inpatient program.,0
211yw4,0,,0
2j19lb,0,,0
2pkwer,ERROR,ERROR,0
2puo9a,0,,1
2qhyvn,0,,0
3a3ier,ERROR,ERROR,0
3a3wr9,ERROR,ERROR,0
3paytc,0,,0
3pb0qj,0,,0
3vmjm9,0,,0
510t9h,ERROR,ERROR,0
537rp3,1,I am sober off illegal substances but take 70mg methadone and it makes me tired so i have to drink coffee daily.,0
6ibq6s,0,,0
6or7wx,0,,0
2w23fp,1,still dying to just do some drugs.,0
30w7kz,1,"i was freaking out so bad, screaming, begging, crying... he lost my boyfriend's pulse completely for about 11 seconds before they woke him up and stabilized him.",0
3ce9om,ERROR,ERROR,0
3ir7o7,ERROR,ERROR,0
3u0p3d,ERROR,ERROR,0
3zmmqw,ERROR,ERROR,0
40jtor,ERROR,ERROR,0
43rva7,0,,0
44jtfb,ERROR,ERROR,0
47t6jd,0,,0
4t5tvo,ERROR,ERROR,0
79xohy,1,"ill just spiral out a bit then get on subs, rinse, repeat.",0
7iz24v,1,when we cave everytime cause we feel like complete shit.,0
8n5lpd,1,dope sickness kicked in,0
